,Wortliste,,
1124.,Katzenkopf,,
1125.,Katzlmacher,,
1126.,Kek,,
1127.,Kellerkind,,
1128.,Kerl,,
1129.,Keule,,
1130.,Kichererbse,,
1131.,Kiffer,,
1132.,Killer,,
1133.,Kinderbeckenstruller,,
1134.,Kinderficker,,
1135.,Kinderleichenficker,,
1136.,Kinderschänder,,
1137.,Kinderschreck,,
1138.,Kindervergewaltiger,,
1139.,Kindskopf,,
1140.,Kirchenmaus,,
1141.,Klabautermann,,
1142.,Klappspaten,,
1143.,Klassenkasper,,
1144.,Klebstoffschnüffler,,
1145.,Kleinhirn,,
1146.,Klippenscheißer,,
1147.,Klofrau,,
1148.,Klotaucher,,
1149.,Klöte,,
1150.,Klötenponny,,
1151.,Klugscheißer,,
1152.,Knabenficker,,
1153.,Knacki,,
1154.,Knallbirne,,
1155.,Knallbohne,,
1156.,Knallcharge,,
1157.,Knallerbse,,
1158.,Knallkopf,,
1159.,Knalltüte,,
1160.,Knastbruder,,
1161.,Knecht,,
1162.,Knilch,,
1163.,Knirps,,
1164.,Knottler,,
1165.,Koffer,,
1166.,Kohlkopf,,
1167.,Kojote,,
1168.,Kollaborateur,,
1169.,Komiker,,
1170.,Kondomlutscher,,
1171.,Kondomplatzkind,,
1172.,Koochem,,
1173.,Korinthenkacker,,
1174.,Körnerfresser,,
1175.,Kötel,,
1176.,Kotfotze,,
1177.,Kotkopf,,
1178.,Kotschlecker,,
1179.,Kotstecher,,
1180.,Kotzbrocken,,
1181.,Kotzefresser,,
1182.,Kotzer,,
1183.,Kotzfotze,,
1184.,Krämerseele,,
1185.,Krampfhenne,,
1186.,Krattler,,
1187.,Kräutergärtner,,
1188.,Kreatur,,
1189.,Kretin,,
1190.,Kriegsverbrecher,,
1191.,Krisperl,,
1192.,Krokodilficker,,
1193.,Kröte,,
1194.,Krüppel,,
1195.,Kuh,,
1196.,Kulturbanause,,
1197.,Kürbis,,
1198.,Kurpfuscher,,
1199.,Kuttenbrunzer,,
1200.,Laberbacke,,
1201.,Laborunfall,,
1202.,Lachnummer,,
1203.,Lachsack,,
1204.,Lachsnacken,,
1205.,Lackaffe,,
1206.,Lackel,,
1207.,Lackschuhpanter,,
1208.,Ladendieb,,
1209.,Laffe,,
1210.,Lahmarsch,,
1211.,Lakai,,
1212.,Lakeiengrüßer,,
1213.,Lakritzschneckenabroller,,
1214.,Lallkopf,,
1215.,Lamettabügler,,
1216.,Lammfellsohlengeher,,
1217.,Lampensau,,
1218.,Landei,,
1219.,Landfahrer,,
1220.,Landhure,,
1221.,Landlümmel,,
1222.,Landplage,,
1223.,Landpomeranze,,
1224.,Landsknecht,,
1225.,Landstreicher,,
1226.,Landungsklatscher,,
1227.,Langfinger,,
1228.,Langsamesser,,
1229.,Langschwanzpavian,,
1230.,Langweiler,,
1231.,Lappen,,
1232.,Laternenficker,,
1233.,Laternenparker,,
1234.,Laternenschlampe,,
1235.,Latexallergievortäuscher,,
1236.,Lattendieb,,
1237.,Lauch,,
1238.,Lauchkopf,,
1239.,Lausbub,,
1240.,Lausejunge,,
1241.,Lauser,,
1242.,Lavendelpflücker,,
1243.,Lazeroner,,
1244.,"Leberwurst,",beleidigte,
1245.,Leibeigener,,
1246.,Leichenficker,,
1247.,Leichenfledderer,,
1248.,Leichenschänder,,
1249.,Löffel,,
1250.,Lohnbetrüger,,
1251.,Lollilutscher,,
1252.,Loser,,
1253.,Lötkolben,,
1254.,Lous,,
1255.,Luder,,
1256.,Luftikus,,
1257.,Luftpumpe,,
1258.,Lügenbold,,
1259.,Lügensau,,
1260.,Lügenschwein,,
1261.,Lügner,,
1262.,Lululutscher,,
1263.,Lümmel,,
1264.,Lümmeltüte,,
1265.,Lümmeltütenlutscher,,
1266.,Lump,,
1267.,Lumpengesindel,,
1268.,Lumpenhund,,
1269.,Lumpenpack,,
1270.,Lumpensack,,
1271.,Lumpensammler,,
1272.,Lurch,,
1273.,Lurchfresse,,
1274.,Lurchi,,
1275.,Lurchkopf,,
1276.,Lusche,,
1277.,Luschenkopf,,
1278.,Luschi,,
1279.,Lustgreis,,
1280.,Lustknabe,,
1281.,Lustmolch,,
1282.,Lustmörder,,
1283.,Lutscher,,
1284.,Macho,,
1285.,Macker,,
1286.,Mädchenzeuger,,
1287.,Mamaficker,,
1288.,Mamasöhnchen,,
1289.,Mannschaftsmatratze,,
1290.,Marktschreier,,
1291.,Massenmörder,,
1292.,Massenwichser,,
1293.,Mastdarmakrobat,,
1294.,Mastdarmgeburt,,
1295.,Mastdarmtourist,,
1296.,Mastsau,,
1297.,Matratze,,
1298.,Mätresse,,
1299.,Matschbirne,,
1300.,Mauerblümchen,,
1301.,Maulaffe,,
1302.,Maulficker,,
1303.,Maulheld,,
1304.,Maulhure,,
1305.,Maulscheißer,,
1306.,Maultier,,
1307.,Mautpreller,,
1308.,Meckerliese,,
1309.,Meldemuschi,,
1310.,Memme,,
1311.,Menschenaffe,,
1312.,Menschenhändler,,
1313.,Menschenschinder,,
1314.,Mephisto,,
1315.,Metze,,
1316.,Meuchelmörder,,
1317.,Mickey-Maus-Detektiv,,
1318.,Miesepeter,,
1319.,Miesmuschel,,
1320.,Mietnomade,,
1321.,Milchbubi,,
1322.,Milchmädchen,,
1323.,Mimose,,
1324.,Missgeburt,,
1325.,Mist,,
1326.,Mistfliege,,
1327.,Mistgurke,,
1328.,Mistkäfer,,
1329.,Mistkerl,,
1330.,Mistmade,,
1331.,Mistschlampe,,
1332.,Mistschwein,,
1333.,Miststück,,
1334.,Mistvieh,,
1335.,Mitgiftjäger,,
1336.,Möchtegern,,
1337.,Möchtegernmacho,,
1338.,Möchtegernpunk,,
1339.,Mokkastecher,,
1340.,Mondkalb,,
1341.,Monster,,
1342.,Moorhuhn,,
1343.,Mops,,
1344.,Moralapostel,,
1345.,Mostschädel,,
1346.,Motivsockenträger,,
1347.,Muffel,,
1348.,Müllfresser,,
1349.,Müllkind,,
1350.,Müllmann,,
1351.,Mülltonnenschlucker,,
1352.,Murkser,,
1353.,Muscheltaucher,,
1354.,Muschificker,,
1355.,Muschipilz,,
1356.,Muschischeißer,,
1357.,Muschkote,,
1358.,Muttersöhnchen,,
1359.,Muttiküsser,,
1360.,Naivling,,
1361.,Napfsülze,,
1362.,Narr,,
1363.,Nase,,
1364.,Naseweis,,
1365.,Nassauer,,
1366.,Natter,,
1367.,Natursektschlürfer,,
1368.,Neandertaler,,
1369.,Neidhammel,,
1370.,Neinsager,,
1371.,Nekromant,,
1372.,Nerd,,
1373.,Nervensäge,,
1374.,Nestbeschmutzer,,
1375.,Netzhautpeitsche,,
1376.,Neureicher,,
1377.,Newbie,,
1378.,Nichts,,
1379.,Nichtskönner,,
1380.,Nichtsnutz,,
1381.,Nichtstuer,,
1382.,Niemand,,
1383.,Niete,,
1384.,Noob,,
1385.,Nougatschnitte,,
1386.,Null,,
1387.,Nulpe,,
1388.,Nuss,,
1389.,Nutte,,
1390.,Nuttenarsch,,
1391.,Nuttenbefruchter,,
1392.,Nuttenbengel,,
1393.,Nuttenbumser,,
1394.,Nuttenficker,,
1395.,Nuttenfresse,,
1396.,Nuttenjäger,,
1397.,Nuttenkind,,
1398.,Nuttenpreller,,
1399.,Nuttensau,,
1400.,Nutterich,,
1401.,Oberaffe,,
1402.,Oberpfeife,,
1403.,Ochse,,
1404.,Ochsenkind,,
1405.,Oimel,,
1406.,Olbel,,
1407.,Ölgötze,,
1408.,Olwel,,
1409.,Omaficker,,
1410.,Onanist,,
1411.,Opaficker,,
1412.,Opfer,,
1413.,Opferkind,,
1414.,Opportunist,,
1415.,Orang-Utan,,
1416.,Orgasmusbremse,,
1417.,Original,,
1418.,Outlaw,,
1419.,Päderast,,
1420.,Palmesel,,
1421.,Pandabär,,
1422.,Panscher,,
1423.,Pansenkind,,
1424.,Pantoffelheld,,
1425.,Papagei,,
1426.,Papierficker,,
1427.,Papiertiger,,
1428.,Papist,,
1429.,Pappenheimer,,
1430.,Pappnase,,
1431.,Paragraphenreiter,,
1432.,Parasit,,
1433.,Parfümierer,,
1434.,Parfümschlampe,,
1435.,Parkplatzschwein,,
1436.,Parkscheibenweiterdreher,,
1437.,Partybumser,,
1438.,Partyficker,,
1439.,Partykotzunke,,
1440.,Partyluder,,
1441.,Partynutte,,
1442.,Partypuper,,
1443.,Partytypenrunterholflittchen,,
1444.,Pechvogel,,
1445.,Peniskopf,,
1446.,Penislutscher,,
1447.,Penispirat,,
1448.,Penispumpe,,
1449.,Penner,,
1450.,Pennerkind,,
1451.,Pessimist,,
1452.,Petze,,
1453.,Pfannkuchengesicht,,
1454.,Pfeife,,
1455.,Pfeifenheini,,
1456.,Pfeifenkopf,,
1457.,Pfennigfuchser,,
1458.,Pferdeficker,,
1459.,Pflanze,,
1460.,Pflasterhirsch,,
1461.,Pflaume,,
1462.,Pflaumenaugust,,
1463.,Pfurz,,
1464.,Pfuscher,,
1465.,Phantast,,
1466.,Philister,,
1467.,Pickelgesicht,,
1468.,Piefke,,
1469.,Piepmatz,,
1470.,Pillendreher,,
1471.,Pimmelberger,,
1472.,Pimmelficker,,
1473.,Pimmelfrau,,
1474.,Pimmelgrille,,
1475.,Pimmelkopf,,
1476.,Pimmellecker,,
1477.,Pimmellutscher,,
1478.,Pimmelpirat,,
1479.,Pimmelprinz,,
1480.,Pimmelsauger,,
1481.,Pinguin,,
1482.,Pinkler,,
1483.,Pinsel,,
1484.,Pinselschwinger,,
1485.,Pipifrau,,
1486.,Pipimann,,
1487.,Pisser,,
1488.,Pissetrinker,,
1489.,Pissgesicht,,
1490.,Pissgurke,,
1491.,Pisskind,,
1492.,Pisskopf,,
1493.,Pisskröte,,
1494.,Pissnelke,,
1495.,Pissqualle,,
1496.,Pisssau,,
1497.,Pissvogel,,
1498.,Plagegeist,,
1499.,Plagiator,,
1500.,Plappermaul,,
1501.,Plärrer,,
1502.,Pleitegeier,,
1503.,Pöbel,,
1504.,Polizei,,
1505.,Popel,,
1506.,Poperze,,
1507.,Popobumser,,
1508.,Popolecker,,
1509.,Popopirat,,
1510.,Pornofreak,,
1511.,Pornoschlampe,,
1512.,Pottsau,,
1513.,Prahler,,
1514.,Prahlhans,,
1515.,Primadonna,,
1516.,Primitivling,,
1517.,Prolet,,
1518.,Proll,,
1519.,Provokateur,,
1520.,Psychopat,,
1521.,Psychopath,,
1522.,Puffmutter,,
1523.,Pumuckl,,
1524.,Punk,,
1525.,Pupsbacke,,
1526.,Pupsbirne,,
1527.,Pupsnase,,
1528.,Pussy,,
1529.,Quacksalber,,
1530.,Quadratarschloch,,
1531.,Quadratdackel,,
1532.,Quadratdepp,,
1533.,Quadratfresse,,
1534.,Quadratlatschi,,
1535.,Quadratratschen,,
1536.,Quadratschädel,,
1537.,Quälgeist,,
1538.,Qualle,,
1539.,Quallenaußenrumschwimmer,,
1540.,Quallenficker,,
1541.,Quallenfischer,,
1542.,Quarkschädel,,
1543.,Quasimodo,,
1544.,Quasselstrippe,,
1545.,Quassler,,
1546.,Quastenflosser,,
1547.,Quatscher,,
1548.,Quatschkopf,,
1549.,Quengler,,
1550.,Querdenker,,
1551.,Querficker,,
1552.,Querflötenlutscher,,
1553.,Querfurzantilope,,
1554.,Querkopf,,
1555.,Querschwimmer,,
1556.,Querulant,,
1557.,Querzahnmolch,,
1558.,Quetschbirne,,
1559.,Quetschgeburt,,
1560.,Quickificker,,
1561.,Quirin,Metzgee,
1562.,Quisling,,
1563.,Rabauke,,
1564.,Rabenaas,,
1565.,Rabenmutter,,
1566.,Raffel,,
1567.,Raffzahn,,
1568.,Rammel,,
1569.,Rasselbande,,
1570.,Ratte,,
1571.,Rattenarsch,,
1572.,Rattenfänger,,
1573.,Rattenkind,,
1574.,Räuber,,
1575.,Raubritter,,
1576.,Raufbold,,
1577.,Rauschkind,,
1578.,Reaktionär,,
1579.,Rechthaber,,
1580.,Rechtsverdreher,,
1581.,Redhead,,
1582.,Renegat,,
1583.,Rhinozeros,,
1584.,Rieseneinlauf,,
1585.,Riesenross,,
1586.,Rinderficker,,
1587.,Rosettenfetischist,,
1588.,Rosettenhengst,,
1589.,Rosettenlecker,,
1590.,Rosettenschlecker,,
1591.,Rosstäuscher,,
1592.,Rotzlöffel,,
1593.,Rotznase,,
1594.,Rowdy,,
1595.,Rübennase,,
1596.,Rübensau,,
1597.,Rübenschwein,,
1598.,Rucksack,,
1599.,Rummelhure,,
1600.,Rüpel,,
1601.,Rüpelradler,,
1602.,Sabberer,,
1603.,Sabberfresse,,
1604.,Sabberkopf,,
1605.,Sabbermaul,,
1606.,Sack,,
1607.,Säckel,,
1608.,Sackgesicht,,
1609.,Sackhaarfresser,,
1610.,Sacknase,,
1611.,Sackrasierer,,
1612.,Sackratte,,
1613.,Sacksau,,
1614.,Sackschmatzer,,
1615.,Sadist,,
1616.,Saftkopf,,
1617.,Saftpresse,,
1618.,Saftsack,,
1619.,Saftschubse,,
1620.,Salbader,,
1621.,Saprophyt,,
1622.,Satan,,
1623.,Satanist,,
1624.,Satansbraten,,
1625.,Satansfreund,,
1626.,Sau,,
1627.,Saubazi,,
1628.,Saubermann,,
1629.,Saudackel,,
1630.,Sauerstoffverbraucher,,
1631.,Saufbold,,
1632.,Saufbruder,,
1633.,Säufer,,
1634.,Saufkopf,,
1635.,Saufotze,,
1636.,Saugesicht,,
1637.,Sauhund,,
1638.,Sauhure,,
1639.,Saukopf,,
1640.,Sauschwein,,
1641.,Sautrottel,,
1642.,Schabracke,,
1643.,Schädling,,
1644.,Schaf,,
1645.,Schafskopf,,
1646.,Schandfleck,,
1647.,Schandgesicht,,
1648.,Schandmaul,,
1649.,Schattenparker,,
1650.,Schauspieler,,
1651.,Scheinheiliger,,
1652.,Scheißarsch,,
1653.,Scheißdreck,,
1654.,Scheiße,,
1655.,Scheißebatzen,,
1656.,Scheißeesser,,
1657.,Scheißeficker,,
1658.,Scheißefresser,,
1659.,Scheißehaufen,,
1660.,Scheißer,,
1661.,Scheißhaufen,,
1662.,Scheißhausfliege,,
1663.,Scheißhausfotze,,
1664.,Scheißhausnutte,,
1665.,Scheißhausratte,,
1666.,Scheißkerl,,
1667.,Scheißkind,,
1668.,Scheißkopf,,
1669.,Scheißloch,,
1670.,Scheißvieh,,
1671.,Schelm,,
1672.,Scherge,,
1673.,Scherzbold,,
1674.,Scherzkeks,,
1675.,Scheusal,,
1676.,Schickse,,
1677.,Schieber,,
1678.,Schielauge,,
1679.,Schietbüdel,,
1680.,Schiffschaukelbremser,,
1681.,Schildbürger,,
1682.,Schimmelmöse,,
1683.,Schimmelpimmel,,
1684.,Schinder,,
1685.,Schindluder,,
1686.,Schissbolzen,,
1687.,Schisser,,
1688.,Schisskind,,
1689.,Schitte,,
1690.,Schlachtschiff,,
1691.,Schlafmütze,,
1692.,Schläger,,
1693.,Schlammsau,,
1694.,Schlampe,,
1695.,Schlampenficker,,
1696.,Schlampenfotze,,
1697.,Schlampenheini,,
1698.,Schlampenkind,,
1699.,Schlampenkuh,,
1700.,Schlampensau,,
1701.,Schlampenschwein,,
1702.,Schlampensohn,,
1703.,Schlampentochter,,
1704.,Schlampenvieh,,
1705.,Schlampenwichser,,
1706.,Schlamper,,
1707.,Schlange,,
1708.,Schlapppisser,,
1709.,Schlappschwanz,,
1710.,Schlauberger,,
1711.,Schlaukopf,,
1712.,Schlaumeier,,
1713.,Schlawiner,,
1714.,Schleimbeutel,,
1715.,Schleimer,,
1716.,Schleimfotze,,
1717.,Schleimpilz,,
1718.,Schleimscheißer,,
1719.,Schlepper,,
1720.,Schlepphoden,,
1721.,Schließmuskelbesamer,,
1722.,Schließmuskelfanatiker,,
1723.,Schlingel,,
1724.,Schlitzer,,
1725.,Schlitzohr,,
1726.,Schlitzpisser,,
1727.,Schluchtenscheißer,,
1728.,Schluckluder,,
1729.,Schluckspecht,,
1730.,Schludrian,,
1731.,Schlumpf,,
1732.,Schlüpferpilot,,
1733.,Schlüpferschnüffler,,
1734.,Schlüpferstürmer,,
1735.,Schlüsselkind,,
1736.,Schmalspurwichser,,
1737.,Schmarotzer,,
1738.,Schmarrer,,
1739.,Schmeißfliege,,
1740.,Schmierfink,,
1741.,Schmock,,
1742.,Schmutzfink,,
1743.,Schmutzwurst,,
1744.,Schnabeltasse,,
1745.,Schnalle,,
1746.,Schnallentreiber,,
1747.,Schnapsdrossel,,
1748.,Schnapsnase,,
1749.,Schnarcher,,
1750.,Schnarchzapfen,,
1751.,Schnecke,,
1752.,Schnellchecker,,
1753.,Schnellspanner,,
1754.,Schnepfe,,
1755.,Schnorrer,,
1756.,Schnösel,,
1757.,Schnüffler,,
1758.,Schnullerbacke,,
1759.,Schnulli,,
1760.,Schrapnelle,,
1761.,Schreckschraube,,
1762.,Schreihals,,
1763.,Schrittschwitzer,,
1764.,Schrubber,,
1765.,Schrulle,,
1766.,Schuft,,
1767.,Schurke,,
1768.,Schürzenjäger,,
1769.,Schussel,,
1770.,Schüssel,,
1771.,Schwachkopf,,
1772.,Schwächling,,
1773.,Schwachmat,,
1774.,Schwachsinniger,,
1775.,Schwammerl,,
1776.,Schwanzdenker,,
1777.,Schwanzfresse,,
1778.,Schwanzkäse,,
1779.,Schwanzkopf,,
1780.,Schwanzlutscher,,
1781.,Schwanzwedler,,
1782.,Schwätzer,,
1783.,Schwein,,
1784.,Schweinebacke,,
1785.,Schweineficker,,
1786.,Schweinegesicht,,
1787.,Schweinehund,,
1788.,Schweinepriester,,
1789.,Schweinesohn,,
1790.,Schwerverbrecher,,
1791.,Schwindler,,
1792.,Schwitzficker,,
1793.,Schwuchtel,,
1794.,Schwulette,,
1795.,Schwuli,,
1796.,Seegurke,,
1797.,Seerosengießer,,
1798.,Selbstmörder,,
1799.,Sesselfurzer,,
1800.,Seuchenvogel,,
1801.,Sextourist,,
1802.,Siebenschläfer,,
1803.,Siffkopp,,
1804.,Simpel,,
1805.,Sittenstrolch,,
1806.,Sitzpinkler,,
1807.,Sklavenhure,,
1808.,Sklaventreiber,,
1809.,Snob,,
1810.,Socke,,
1811.,Sockenfalter,,
1812.,Sodomit,,
1813.,Softie,,
1814.,Soldatenhure,,
1815.,Sonntagsfahrer,,
1816.,Sozialparasit,,
1817.,Sozialschmarotzer,,
1818.,Spachtel,,
1819.,Spacken,,
1820.,Spacko,,
1821.,Spaddel,,
1822.,Spanner,,
1823.,Spargeltarzan,,
1824.,Spasti,,
1825.,Speckjäger,,
1826.,Speichellecker,,
1827.,Spermacontainer,,
1828.,Spermarutsche,,
1829.,Spermaschleuder,,
1830.,Spermaschlucker,,
1831.,Spermaunfall,,
1832.,Spielverderber,,
1833.,Spießbürger,,
1834.,Spießer,,
1835.,Spießgeselle,,
1836.,Spinatwachtel,,
1837.,Spinnenficker,,
1838.,Spinner,,
1839.,Spitzel,,
1840.,Spitzklicker,,
1841.,Spritzgebäck,,
1842.,Stänkerer,,
1843.,Steckdosenbefruchter,,
1844.,Stehaufmännchen,,
1845.,Stehlampe,,
1846.,Stehpisser,,
1847.,Steinbeißer,,
1848.,Steinzeitmensch,,
1849.,Stenz,,
1850.,Sternficker,,
1851.,Stiefellecker,,
1852.,Stinker,,
1853.,Stinkfotze,,
1854.,Stinkmorchel,,
1855.,Stinknudel,,
1856.,Stinksau,,
1857.,Stinkstiefel,,
1858.,Stinktier,,
1859.,Stockfisch,,
1860.,Stoffel,,
1861.,Störenfried,,
1862.,Straßenkind,,
1863.,Straßenmädchen,,
1864.,Straßenräuber,,
1865.,Strauchdieb,,
1866.,Streber,,
1867.,Streithammel,,
1868.,Streithansel,,
1869.,Stricher,,
1870.,Strichjunge,,
1871.,Strichmädchen,,
1872.,Strichnutte,,
1873.,Strolch,,
1874.,Strunz,,
1875.,Stubenhocker,,
1876.,Stück,Scheiße,
1877.,Studentenhure,,
1878.,Stümper,,
1879.,Sturer,,
1880.,Sturkopf,,
1881.,Suffkopp,,
1882.,Sülzkopf,,
1883.,Sumpfhuhn,,
1884.,Sumpfkuh,,
1885.,Sünder,,
1886.,Suppenhuhn,,
1887.,Suppenkasper,,
1888.,Swinger,,
1889.,Systemfehler,,
1890.,Systemnutte,,
1891.,Tagedieb,,
1892.,Taschendieb,,
1893.,Tastaturabdecker,,
1894.,Tattergreis,,
1895.,Taugenichts,,
1896.,Telletubbyzurückwinker,,
1897.,Teufel,,
1898.,Teufelsbraten,,
1899.,Teufelsfrucht,,
1900.,Teufelshexe,,
1901.,Teufelshure,,
1902.,Tierquäler,,
1903.,Tierschänder,,
1904.,Tittendachs,,
1905.,Toilettengeburt,,
1906.,Toilettenkiffer,,
1907.,Toilettentiefseetaucher,,
1908.,Tollpatsch,,
1909.,Tölpel,,
1910.,Tor,,
1911.,Torfkopf,,
1912.,Torfnase,,
1913.,Tortenarsch,,
1914.,Totengräbershure,,
1915.,Totschwätzer,,
1916.,Trampel,,
1917.,Trampeltier,,
1918.,Transe,,
1919.,Transenkopf,,
1920.,Transuse,,
1921.,Trantüte,,
1922.,Tratschtante,,
1923.,Träumer,,
1924.,Traumtänzer,,
1925.,Tresenschlampe,,
1926.,Trittbrettfahrer,,
1927.,Trödler,,
1928.,Troll,,
1929.,Trolldepp,,
1930.,Tropf,,
1931.,Trottel,,
1932.,Trotzkopf,,
1933.,Trüffelschwein,,
1934.,Trulla,,
1935.,Trümmertranse,,
1936.,Tucke,,
1937.,Tunichtgut,,
1938.,Tünnes,,
1939.,Tunte,,
1940.,Turnbeutelvergesser,,
1941.,Tusse,,
1942.,Tussi,,
1943.,Tussie,,
1944.,Typ,,
1945.,Tyrann,,
1946.,Umstandskrämer,,
1947.,Umweltsau,,
1948.,Umweltverschmutzer,,
1949.,Unflat,,
1950.,Ungeheuer,,
1951.,Ungeziefer,,
1952.,Ungustl,,
1953.,Unhold,,
1954.,Unke,,
1955.,Unmensch,,
1956.,Unperson,,
1957.,Unsympath,,
1958.,Unterhaltsnutte,,
1959.,Unterhosenscheißer,,
1960.,Untoter,,
1961.,Urning,,
1962.,Vaginalwurm,,
1963.,Vampir,,
1964.,Vandale,,
1965.,Vaterficker,,
1966.,Vaterlandsverräter,,
1967.,Venusfliegenfalle,,
1968.,Verbalerotiker,,
1969.,Verbrecher,,
1970.,Verderber,,
1971.,Vereinsmatratze,,
1972.,Vereinsmeier,,
1973.,Verfallsdatumleser,,
1974.,Verfallsdatumspaniker,,
1975.,Verführer,,
1976.,Vergesskopf,,
1977.,Vergewaltiger,,
1978.,Vergewohltätiger,,
1979.,Verkehrsrowdy,,
1980.,Verlierer,,
1981.,Verräter,,
1982.,Versager,,
1983.,Viech,,
1984.,Vielfraß,,
1985.,Vierauge,,
1986.,Vogelscheuche,,
1987.,Volksschädling,,
1988.,Volksverräter,,
1989.,Vollassi,,
1990.,Volldepp,,
1991.,Vollhorst,,
1992.,Vollidiot,,
1993.,Vollpfosten,,
1994.,Vollspacko,,
1995.,Vollwurst,,
1996.,Vorgesetzter,,
1997.,Vorstadtcasanova,,
1998.,Vorstand,,
1999.,Wadenbeißer,,
2000.,Waldesel,,
2001.,Waldfee,,
2002.,Waldschrat,,
2003.,Walross,,
2004.,Wanderpokal,,
2005.,Wanze,,
2006.,Wappler,,
2007.,Warmduscher,,
2008.,Warzenschwein,,
2009.,Waschlappen,,
2010.,Waschweib,,
2011.,Wasserkopf,,
2012.,Wechselbalg,,
2013.,Weib,,
2014.,Weiberheld,,
2015.,Weichbirne,,
2016.,Weichei,,
2017.,Weihnachtsgans,,
2018.,Weihnachtsmann,,
2019.,Weinpanscher,,
2020.,Wendehals,,
2021.,Wetterhexe,,
2022.,Wichsbirne,,
2023.,Wichsbold,,
2024.,Wichscontainer,,
2025.,Wichser,,
2026.,Wichslappen,,
2027.,Wicht,,
2028.,Wichtelmann,,
2029.,Wichtelmännchen,,
2030.,Wichtigtuer,,
2031.,Widerling,,
2032.,Widerspruchsgeist,,
2033.,Wildsau,,
2034.,Wildschwein,,
2035.,Windbeutel,,
2036.,Windei,,
2037.,Windelarsch,,
2038.,Windelfetischist,,
2039.,Windelkacker,,
2040.,Windhund,,
2041.,Winkeladvokat,,
2042.,Wirrkopf,,
2043.,Witzbold,,
2044.,Witzfigur,,
2045.,Witzknubbel,,
2046.,Wotansbraten,,
2047.,Wucherer,,
2048.,Wundertüte,,
2049.,Wurm,,
2050.,Würmling,,
2051.,Wurstbrot,,
2052.,Würstchen,,
2053.,Wurzelsepp,,
2054.,Wüstling,,
2055.,Wüterich,,
2056.,Xanthippe,,
2057.,Xylakant,,
2058.,Yak,,
2059.,Yakarsch,,
2060.,Yak-Cowboy,,
2061.,Yakuza-Fotze,,
2062.,Yeti,,
2063.,Yetificker,,
2064.,Yogafotze,,
2065.,Yogaschlampe,,
2066.,Yogiteetrinker,,
2067.,YPS-Spezialagent,,
2068.,Zahnarztspritzenbettler,,
2069.,Zahnarztterminverschieber,,
2070.,Zahnbürstenborstenverbieger,,
2071.,Zahnfüllung,,
2072.,Zahnlücke,,
2073.,Zahnspangenfresse,,
2074.,Zahnsteinlutscher,,
2075.,Zahnstocher,,
2076.,Zahnwichser,,
2077.,Zander,,
2078.,Zangengeburt,,
2079.,Zapfen,,
2080.,Zappelphilipp,,
2081.,Zarter,,
2082.,Zauberflöte,,
2083.,Zaungaffer,,
2084.,Zaunpinkler,,
2085.,Zausel,,
2086.,Zechpreller,,
2087.,Zecke,,
2088.,Zerstörer,,
2089.,Zettelschlampe,,
2090.,Zicke,,
2091.,Ziege,,
2092.,Ziegenficker,,
2093.,Ziegenschänder,,
2094.,Zimmermädchenverführer,,
2095.,Zimmerpflanzengießer,,
2096.,Zimperliese,,
2097.,Zimtzicke,,
2098.,Zinker,,
2099.,Zipfelklatscher,,
2100.,Zipfelschwinger,,
2101.,Znuk,,
2102.,Zuchtsau,,
2103.,Zuhälter,,
2104.,Zweitligist,,
2105.,Zwergnase,,
2106.,Zwitter,,
2107.,Zyklopenfotze,,
2108.,Zyniker,,
2109.,Zyste,,
2110.,Zystenfresse,,
